entry,offset,span,inflated_size,numeric_hits,text_hits,known_struct,notes
13,0x11df00,0xa038,0xa038,"26:u16=11:u32=2;57:u16=5:u32=2;58:u16=4:u32=1;131:u16=3:u32=0;174:u16=3:u32=0;294:u16=2:u32=0",,,"early_table"
14,0x128000,0x2ee0,0x2ee0,"26:u16=5:u32=0;57:u16=3:u32=0;58:u16=3:u32=0",,,"early_table"
16,0x12b100,0xa060,0xa060,"26:u16=16:u32=15;57:u16=5:u32=5;58:u16=5:u32=5;131:u16=1:u32=1",,,"early_table"
17,0x135200,0x6af90,0x6af90,"26:u16=472:u32=194;57:u16=56:u32=54;58:u16=114:u32=112;131:u16=56:u32=56;174:u16=54:u32=54;294:u16=1:u32=1;586:u16=1:u32=1;699:u16=1:u32=1;911:u16=1:u32=1",,,"early_table"
18,0x1a0200,0x13e8,0x13e8,"26:u16=4:u32=0;57:u16=2:u32=0;58:u16=2:u32=0;131:u16=4:u32=0;174:u16=1:u32=0;294:u16=2:u32=0",,,"early_table"
19,0x1a1600,0x2dc4,0x2dc4,"26:u16=3:u32=0;57:u16=3:u32=0;174:u16=1:u32=0",,,"early_table"
20,0x1a4400,0x3910,0x3910,"26:u16=1:u32=0;58:u16=17:u32=4;131:u16=1:u32=0;174:u16=1:u32=0",,,"early_table"
21,0x1a7e00,0x12c0,0x12c0,"26:u16=2:u32=0;57:u16=6:u32=0;58:u16=1:u32=0;131:u16=1:u32=0;174:u16=5:u32=0",,,"early_table"
22,0x1a9100,0x5c2e0,0x5c2e0,"26:u16=72:u32=22;58:u16=1:u32=1;131:u16=2:u32=2;586:u16=3:u32=0",,,"early_table"
24,0x205700,0x2a48,0x2a48,"58:u16=2:u32=0",,,"early_table"
25,0x208200,0x7474,0x7474,"26:u16=20:u32=1;57:u16=12:u32=2;58:u16=15:u32=2;131:u16=11:u32=2;174:u16=5:u32=1;294:u16=2:u32=1",,,"early_table"
26,0x20f700,0x4b0,0x4b0,"57:u16=1:u32=0;58:u16=2:u32=0;294:u16=1:u32=1",,,"early_table"
27,0x20fc00,0x484,0x484,"26:u16=4:u32=1;57:u16=2:u32=1;58:u16=2:u32=1",,,"early_table"
29,0x210200,0x571c,0x571c,"26:u16=1:u32=0;57:u16=11:u32=3;911:u16=9:u32=9","DLC_COSTUME_006_586_026_003=2;DLC_COSTUME_007_699_026_004=1",entry29_dlc_codes,"early_table"
30,0x215a00,0x1d20,0x1d20,"26:u16=14:u32=0;57:u16=12:u32=0",,,"text_heavy;early_table"
31,0x217800,0x420,0x420,"57:u16=4:u32=1",,,"text_heavy;early_table"
32,0x217d00,0x14aa0a,0x14aa0a,"26:u16=196:u32=166;57:u16=2831:u32=9;58:u16=44:u32=13;131:u16=55:u32=0;174:u16=18:u32=0;294:u16=15:u32=0;699:u16=1:u32=0","MPLC026=2;MDLC999=1;806_131=2",entry32_string_registry,"text_heavy;early_table"
33,0x362800,0x42e4e0,0x42e4e0,"26:u16=3:u32=0;57:u16=10:u32=7;58:u16=13:u32=10;131:u16=6:u32=0;174:u16=6:u32=0",,,"text_heavy;early_table"
34,0x790d00,0xb30,0xb30,"57:u16=18:u32=1",,,"text_heavy;early_table"
35,0x791900,0x13e10,0x13e10,"26:u16=22:u32=11;57:u16=2:u32=1;58:u16=7:u32=6;131:u16=3:u32=0;174:u16=13:u32=0",,entry35_model_rows,"early_table"
39,0x833a00,0x8350,0x8350,,,entry39_costume_params,"early_table"
40,0x83be00,0x7090,0x7090,"26:u16=1:u32=0;131:u16=2:u32=2",,,"early_table"
42,0x843300,0xb9710,0xb9710,"26:u16=996:u32=0;57:u16=994:u32=0;58:u16=134:u32=0;131:u16=993:u32=0;174:u16=784:u32=0",,,"early_table"
51,0x903e00,0x4ca10,0x4ca10,"131:u16=1:u32=1",,,"early_table"
52,0x950900,0xcb270,0xcb270,"26:u16=414:u32=414;57:u16=74:u32=74;58:u16=71:u32=71;131:u16=56:u32=56;174:u16=3:u32=3;294:u16=65:u32=65;586:u16=3:u32=3;699:u16=4:u32=4;911:u16=1:u32=1",,entry52_costume_records,"early_table"
53,0xa1bc00,0x790,0x790,"57:u16=2:u32=0;58:u16=2:u32=0",,,"early_table"
54,0xa1c400,0x1efc0,0x1efc0,"26:u16=15:u32=15;57:u16=10:u32=2;58:u16=1:u32=0;131:u16=11:u32=10;174:u16=8:u32=7;294:u16=9:u32=7",,,"text_heavy;early_table"
56,0xa3b600,0x490,0x490,"58:u16=9:u32=0",,,"early_table"
58,0xa3bc00,0xd960,0xd960,"26:u16=6:u32=5;57:u16=36:u32=36;58:u16=27:u32=26;131:u16=9:u32=6;174:u16=1:u32=0",,entry58_costume_sections,"early_table"
59,0xa49600,0x1d4c10,0x1d4c10,"26:u16=67:u32=8;57:u16=49:u32=5;58:u16=41:u32=18;131:u16=45:u32=25;911:u16=15:u32=15",,,"early_table"
60,0xc1e300,0x64030,0x64030,"26:u16=21:u32=20;57:u16=23:u32=12;58:u16=30:u32=23;911:u16=1:u32=1",,,"early_table"
61,0xc82400,0x169d0,0x169d0,"26:u16=41:u32=29;57:u16=278:u32=274;58:u16=147:u32=140;131:u16=1:u32=1;911:u16=1:u32=1",,,"early_table"
62,0xc98e00,0x17810,0x17810,"26:u16=26:u32=12;57:u16=23:u32=8;58:u16=10:u32=8;131:u16=7:u32=7;174:u16=1:u32=1;294:u16=10:u32=10;911:u16=1:u32=1",,,"early_table"
63,0xcb0700,0x37e10,0x37e10,"26:u16=23:u32=10;57:u16=15:u32=0;58:u16=5:u32=1;131:u16=27:u32=13;911:u16=1:u32=1",,,"early_table"
64,0xce8600,0x98e30,0x98e30,"26:u16=178:u32=115;57:u16=25:u32=0;58:u16=26:u32=2;131:u16=1493:u32=1464",,,"early_table"
66,0xd81b00,0xc9f0,0xc9f0,"26:u16=1:u32=1;57:u16=1:u32=1;58:u16=2:u32=1;131:u16=2:u32=1;586:u16=1:u32=1",,,
67,0xd8e500,0xa70,0xa70,"26:u16=2:u32=2;57:u16=1:u32=1;58:u16=1:u32=1",,,
68,0xd8f000,0x2c590,0x2c590,"26:u16=17:u32=16;57:u16=29:u32=29;58:u16=26:u32=26;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
69,0xdbb600,0x2b870,0x2b870,"26:u16=7:u32=6;57:u16=16:u32=16;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=3:u32=3",,,
70,0xde6f00,0x264c0,0x264c0,"26:u16=25:u32=24;57:u16=23:u32=23;58:u16=24:u32=24;174:u16=1:u32=1;586:u16=14:u32=14",,,
71,0xe0d400,0x26170,0x26170,"26:u16=7:u32=6;57:u16=23:u32=23;58:u16=23:u32=23;131:u16=4:u32=4;174:u16=1:u32=1;586:u16=2:u32=2",,,
72,0xe33600,0x2c4d0,0x2c4d0,"26:u16=4:u32=3;57:u16=14:u32=14;58:u16=23:u32=23;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
73,0xe5fb00,0x23ab0,0x23ab0,"26:u16=723:u32=380;57:u16=22:u32=22;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
74,0xe83600,0x2c3c0,0x2c3c0,"26:u16=24:u32=23;57:u16=24:u32=24;58:u16=23:u32=23;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=14:u32=14",,,
75,0xeafa00,0x23f20,0x23f20,"26:u16=17:u32=16;57:u16=24:u32=24;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
76,0xed3a00,0x27020,0x27020,"26:u16=19:u32=18;57:u16=21:u32=21;58:u16=24:u32=24;131:u16=4:u32=4;174:u16=2:u32=2;586:u16=2:u32=2",,,
77,0xefab00,0x2c090,0x2c090,"26:u16=14:u32=13;57:u16=16:u32=16;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2;911:u16=1:u32=1",,,
78,0xf26c00,0x272e0,0x272e0,"26:u16=10:u32=9;57:u16=22:u32=22;58:u16=24:u32=24;131:u16=1:u32=1;174:u16=1:u32=1;586:u16=2:u32=2",,,
79,0xf4df00,0x22ee0,0x22ee0,"26:u16=4:u32=3;57:u16=23:u32=23;58:u16=27:u32=27;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
80,0xf70e00,0x26010,0x26010,"26:u16=7:u32=6;57:u16=22:u32=22;58:u16=25:u32=25;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
81,0xf96f00,0x268a0,0x268a0,"26:u16=27:u32=26;57:u16=599:u32=302;58:u16=188:u32=107;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2;699:u16=11:u32=11",,,
82,0xfbd800,0x2ba80,0x2ba80,"26:u16=19:u32=18;57:u16=15:u32=15;58:u16=347:u32=175;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=1:u32=1;586:u16=2:u32=2",,,
83,0xfe9300,0x276c0,0x276c0,"26:u16=10:u32=9;57:u16=21:u32=21;58:u16=26:u32=26;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
84,0x1010a00,0x22d20,0x22d20,"26:u16=35:u32=34;57:u16=17:u32=17;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
85,0x1033800,0x2c340,0x2c340,"26:u16=8:u32=7;57:u16=28:u32=28;58:u16=38:u32=38;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2;911:u16=1:u32=1",,,
86,0x105fc00,0x26440,0x26440,"26:u16=10:u32=9;57:u16=18:u32=18;58:u16=23:u32=23;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
87,0x1086100,0x287d0,0x287d0,"26:u16=23:u32=21;57:u16=14:u32=14;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
88,0x10ae900,0x2b2e0,0x2b2e0,"26:u16=26:u32=25;57:u16=26:u32=26;58:u16=27:u32=27;131:u16=3:u32=3;174:u16=20:u32=20;294:u16=11:u32=11;586:u16=2:u32=2;911:u16=1:u32=1",,,
89,0x10d9c00,0x2b9c0,0x2b9c0,"26:u16=6:u32=5;57:u16=15:u32=15;58:u16=25:u32=25;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
90,0x1105600,0x30c20,0x30c20,"26:u16=78:u32=73;57:u16=17:u32=17;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2;911:u16=1:u32=1",,,
91,0x1136300,0x2af00,0x2af00,"26:u16=5:u32=4;57:u16=16:u32=16;58:u16=22:u32=22;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
92,0x1161200,0x217a0,0x217a0,"26:u16=6:u32=5;57:u16=19:u32=19;58:u16=23:u32=23;174:u16=1:u32=1;586:u16=14:u32=14",,,
93,0x1182a00,0x2c1d0,0x2c1d0,"26:u16=7:u32=6;57:u16=15:u32=15;58:u16=22:u32=22;131:u16=4:u32=4;174:u16=1:u32=1;586:u16=2:u32=2",,,
94,0x11aec00,0x25430,0x25430,"26:u16=12:u32=11;57:u16=16:u32=16;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=1:u32=0;586:u16=2:u32=2",,,
95,0x11d4100,0x28540,0x28540,"26:u16=9:u32=8;57:u16=20:u32=20;58:u16=23:u32=23;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=3:u32=2;911:u16=1:u32=1",,,
96,0x11fc700,0x2af50,0x2af50,"26:u16=2:u32=1;57:u16=37:u32=37;58:u16=23:u32=23;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
97,0x1227700,0x341f0,0x341f0,"26:u16=8:u32=7;57:u16=15:u32=15;58:u16=28:u32=28;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
98,0x125b900,0x24dc0,0x24dc0,"26:u16=4:u32=3;57:u16=21:u32=21;58:u16=40:u32=40;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
99,0x1280700,0x29c80,0x29c80,"26:u16=7:u32=6;57:u16=23:u32=23;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
100,0x12aa400,0x23860,0x23860,"26:u16=5:u32=4;57:u16=20:u32=20;58:u16=26:u32=26;131:u16=852:u32=417;174:u16=1:u32=1;294:u16=22:u32=22;586:u16=14:u32=14",,,
101,0x12cdd00,0x379d0,0x379d0,"26:u16=4:u32=3;57:u16=19:u32=18;58:u16=22:u32=22;131:u16=1:u32=1;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=14:u32=14;911:u16=1:u32=1",,,
102,0x1305700,0x2a5d0,0x2a5d0,"26:u16=8:u32=7;57:u16=22:u32=22;58:u16=25:u32=25;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
103,0x132fd00,0x30c00,0x30c00,"26:u16=9:u32=8;57:u16=23:u32=23;58:u16=23:u32=23;131:u16=3:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2;911:u16=1:u32=1",,,
104,0x1360900,0x2e480,0x2e480,"26:u16=27:u32=26;57:u16=20:u32=20;58:u16=23:u32=23;131:u16=3:u32=3;174:u16=2:u32=1;294:u16=11:u32=11;586:u16=2:u32=2;911:u16=1:u32=1",,,
105,0x138ee00,0x2e5f0,0x2e5f0,"26:u16=6:u32=5;57:u16=23:u32=22;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
106,0x13bd400,0x3d900,0x3d900,"26:u16=33:u32=32;57:u16=14:u32=14;58:u16=22:u32=22;174:u16=1:u32=1;586:u16=14:u32=14;911:u16=23:u32=23",,,
107,0x13fad00,0x27a50,0x27a50,"26:u16=4:u32=3;57:u16=16:u32=16;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
108,0x1422800,0x253c0,0x253c0,"26:u16=2:u32=1;57:u16=15:u32=15;58:u16=23:u32=23;131:u16=1:u32=1;174:u16=1:u32=1;586:u16=2:u32=2;911:u16=1:u32=1",,,
109,0x1447c00,0x459b0,0x459b0,"26:u16=14:u32=13;57:u16=22:u32=22;58:u16=28:u32=28;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
110,0x148d600,0x255d0,0x255d0,"26:u16=4:u32=3;57:u16=22:u32=22;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
111,0x14b2c00,0x1a4e0,0x1a4e0,"26:u16=3:u32=2;57:u16=20:u32=20;58:u16=20:u32=20;174:u16=1:u32=1;586:u16=14:u32=14",,,
112,0x14cd100,0x190e0,0x190e0,"26:u16=16:u32=10;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
113,0x14e6200,0x1e730,0x1e730,"26:u16=5:u32=4;57:u16=23:u32=23;58:u16=19:u32=19;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=14:u32=14",,,
114,0x1504a00,0x1c1f0,0x1c1f0,"26:u16=4:u32=3;57:u16=22:u32=22;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
115,0x1520c00,0x108f0,0x108f0,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=3:u32=3;699:u16=11:u32=11",,,
116,0x1531500,0x1e160,0x1e160,"26:u16=17:u32=16;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
117,0x154f700,0x1b540,0x1b540,"26:u16=4:u32=3;57:u16=22:u32=22;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
118,0x156ad00,0x1ec70,0x1ec70,"26:u16=6:u32=5;57:u16=21:u32=21;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
119,0x1589a00,0x1d300,0x1d300,"26:u16=5:u32=4;57:u16=20:u32=20;58:u16=23:u32=23;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
120,0x15a6d00,0x21240,0x21240,"26:u16=8:u32=7;57:u16=23:u32=23;58:u16=21:u32=21;131:u16=4:u32=3;174:u16=1:u32=1;294:u16=11:u32=11;586:u16=2:u32=2",,,
121,0x15c8000,0x1dc30,0x1dc30,"26:u16=7:u32=6;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
122,0x15e5d00,0x1bc00,0x1bc00,"26:u16=6:u32=5;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
123,0x1601900,0x1b300,0x1b300,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
124,0x161cc00,0x1d830,0x1d830,"26:u16=4:u32=3;57:u16=22:u32=22;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
125,0x163a500,0x1d200,0x1d200,"26:u16=10:u32=9;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
126,0x1657700,0x1d900,0x1d900,"26:u16=15:u32=14;57:u16=22:u32=22;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
127,0x1675000,0x1ba20,0x1ba20,"26:u16=8:u32=7;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
128,0x1690b00,0x162c0,0x162c0,"26:u16=2:u32=1;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=1:u32=1;174:u16=1:u32=1;294:u16=1:u32=0;586:u16=2:u32=2",,,
129,0x16a6e00,0x1b8d0,0x1b8d0,"26:u16=4:u32=3;57:u16=22:u32=22;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
130,0x16c2700,0x15cc0,0x15cc0,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=1;174:u16=1:u32=1;586:u16=2:u32=2",,,
131,0x16d8400,0xf430,0xf430,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=3:u32=2;586:u16=2:u32=2",,,
132,0x16e7900,0xa930,0xa930,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=3:u32=2",,,
133,0x16f2300,0xa930,0xa930,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=3:u32=2",,,
134,0x16fcd00,0x1af10,0x1af10,"26:u16=4:u32=3;57:u16=20:u32=20;58:u16=23:u32=23;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
135,0x1717d00,0x18b30,0x18b30,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=1:u32=1;174:u16=1:u32=1;586:u16=2:u32=2",,,
136,0x1730900,0x1bc00,0x1bc00,"26:u16=4:u32=3;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
137,0x174c500,0x168d0,0x168d0,"26:u16=3:u32=2;57:u16=23:u32=23;58:u16=25:u32=25;131:u16=1:u32=1;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
138,0x1762e00,0x1b590,0x1b590,"26:u16=10:u32=9;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
139,0x177e400,0x1b690,0x1b690,"26:u16=3:u32=2;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
140,0x1799b00,0x1c150,0x1c150,"26:u16=4:u32=3;57:u16=19:u32=19;58:u16=19:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
141,0x17b5d00,0x1a540,0x1a540,"26:u16=4:u32=3;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
142,0x17d0300,0x1adf0,0x1adf0,"26:u16=9:u32=8;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
143,0x17eb100,0x1b370,0x1b370,"26:u16=4:u32=3;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
144,0x1806500,0x1c7a0,0x1c7a0,"26:u16=4:u32=3;57:u16=21:u32=21;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
145,0x1822d00,0x1ccf0,0x1ccf0,"26:u16=15:u32=14;57:u16=21:u32=21;58:u16=24:u32=24;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
146,0x183fa00,0x1adc0,0x1adc0,"26:u16=7:u32=6;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
147,0x185a800,0x18da0,0x18da0,"26:u16=3:u32=2;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=1:u32=1;174:u16=1:u32=1;294:u16=1:u32=1;586:u16=2:u32=2",,,
148,0x1873600,0x19a50,0x19a50,"26:u16=4:u32=3;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
149,0x188d100,0x1a7b0,0x1a7b0,"26:u16=4:u32=3;57:u16=21:u32=21;58:u16=20:u32=20;131:u16=2:u32=2;174:u16=1:u32=1;294:u16=10:u32=10;586:u16=2:u32=2",,,
150,0x18a7900,0x1b6d0,0x1b6d0,"26:u16=5:u32=4;57:u16=21:u32=21;58:u16=21:u32=21;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
151,0x18c3000,0x3fa0,0x3fa0,"58:u16=1:u32=0",,,
152,0x18c7000,0x2bb30,0x2bb30,"26:u16=2:u32=1;57:u16=63:u32=39;58:u16=18:u32=18;131:u16=3:u32=3;174:u16=1:u32=1;586:u16=3:u32=2;699:u16=1:u32=1",,,
153,0x18f2c00,0x19600,0x19600,"26:u16=2:u32=1;57:u16=19:u32=19;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
154,0x190c200,0x21c30,0x21c30,"26:u16=2:u32=1;57:u16=20:u32=19;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
155,0x192df00,0x23af0,0x23af0,"26:u16=2:u32=1;57:u16=20:u32=19;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
156,0x1951a00,0x17b10,0x17b10,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=18:u32=18;131:u16=3:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
157,0x1969600,0x25c20,0x25c20,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=19:u32=19;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
158,0x198f300,0x18650,0x18650,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
159,0x19a7a00,0x17a60,0x17a60,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
160,0x19bf500,0x17f30,0x17f30,"26:u16=2:u32=1;57:u16=20:u32=20;58:u16=76:u32=48;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
161,0x19d7500,0x18ba0,0x18ba0,"26:u16=8:u32=7;57:u16=19:u32=19;58:u16=18:u32=18;131:u16=2:u32=2;174:u16=1:u32=1;586:u16=2:u32=2",,,
162,0x19f0100,0xd330,0xd330,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=2:u32=2;699:u16=11:u32=11",,,
163,0x19fd500,0xe100,0xe100,"26:u16=2:u32=1;57:u16=2:u32=2;131:u16=2:u32=2;174:u16=2:u32=0;699:u16=11:u32=11",,,
164,0x1a0b600,0x155d0,0x155d0,"26:u16=4:u32=3;57:u16=1:u32=1;58:u16=1:u32=1;294:u16=1:u32=1;586:u16=12:u32=12;699:u16=11:u32=11",,,
165,0x1a20c00,0xf850,0xf850,"26:u16=2:u32=1;57:u16=7:u32=7;131:u16=2:u32=2;699:u16=11:u32=11",,,
166,0x1a30500,0xd390,0xd390,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=2:u32=2;699:u16=11:u32=11",,,
167,0x1a3d900,0xd330,0xd330,"26:u16=2:u32=1;57:u16=1:u32=1;131:u16=2:u32=2;699:u16=11:u32=11",,,
