owner_id,owner_name,suffix,section7_id,name
16,MPLC016_Teach,48,2096,806_048_costume_teach
16,MPLC016_Teach,49,2097,806_049_costume_teach_nw
18,MPLC018_Kizaru,50,2098,806_050_costume_kizaru
19,MPLC019_Aokiji,51,2099,806_051_costume_aokiji
19,MPLC019_Aokiji,52,2100,806_052_costume_aokiji_nw
20,MPLC020_Akainu,53,2101,806_053_costume_akainu
23,MPLC023_Smoker,54,2102,806_054_costume_smoker
23,MPLC023_Smoker,55,2103,806_055_costume_smoker_nw
24,MPLC024_Marco,56,2104,806_056_costume_marco
25,MPLC025_Garp,127,2175,806_127_costume_garp
26,MPLC026_Law,57,2105,806_057_costume_law
26,MPLC026_Law,58,2106,806_058_costume_law_dressrosa
26,MPLC026_Law,111,2159,806_111_costume_law_souhi
26,MPLC026_Law,131,2179,806_131_costume_law_oni
26,MPLC026_Law,699,4713,806_699_costume_law_custom
27,MPLC027_Doflamingo,59,2107,806_059_costume_doflamingo
28,MPLC028_Tashigi,60,2108,806_060_costume_tashigi
28,MPLC028_Tashigi,61,2109,806_061_costume_tashigi_nw
30,MPLC030_Fujitora,62,2110,806_062_costume_fujitora
31,MPLC031_Sabo,63,2111,806_063_costume_sabo
31,MPLC031_Sabo,64,2112,806_064_costume_sabo_lucy
32,MPLC032_Lucci,65,2113,806_065_costume_lucci
35,MPLC035_Ivankov,66,2114,806_066_costume_ivankov
36,MPLC036_Shanks,67,2115,806_067_costume_shanks
38,MPLC038_Cavendish,69,2117,806_069_costume_cavendish
38,MPLC038_Cavendish,95,2143,806_095_costume_cavendish_hakuba
41,MPLC041_Reiju,71,2119,806_071_costume_reiju
42,MPLC042_Ichiji,72,2120,806_072_costume_ichiji
43,MPLC043_Niji,73,2121,806_073_costume_niji
44,MPLC044_Yonji,74,2122,806_074_costume_yonji
47,MPLC047_Katakuri,77,2125,806_077_costume_katakuri
48,MPLC048_Kaido,78,2126,806_078_costume_kaido
48,MPLC048_Kaido,94,2142,806_094_costume_kaido_formchange
49,MPLC049_Kid,79,2127,806_079_costume_kid
49,MPLC049_Kid,80,2128,806_080_costume_kid_nw
50,MPLC050_Hawkins_NW,81,2129,806_081_costume_hawkins_nw
70,MNPC019_Mr1,87,2135,806_087_costume_mr1
70,MNPC019_Mr1,88,2136,806_088_costume_mr1_marineford
76,MNPC025_Burgess,83,2131,806_083_costume_burgess
76,MNPC025_Burgess,84,2132,806_084_costume_burgess_nw
87,MPLC000_Luffy,0,2048,806_000_costume_luffy
87,MPLC000_Luffy,1,2049,806_001_costume_luffy_alabasta
87,MPLC000_Luffy,2,2050,806_002_costume_luffy_enies_lobby
87,MPLC000_Luffy,3,2051,806_003_costume_luffy_sabaody
87,MPLC000_Luffy,4,2052,806_004_costume_luffy_impel_down
87,MPLC000_Luffy,5,2053,806_005_costume_luffy_marineford_late
87,MPLC000_Luffy,6,2054,806_006_costume_luffy_nw
87,MPLC000_Luffy,7,2055,806_007_costume_luffy_dressrosa
87,MPLC000_Luffy,8,2056,806_008_costume_luffy_wholecakeisland
87,MPLC000_Luffy,9,2057,806_009_costume_luffy_lucy
87,MPLC000_Luffy,91,2139,806_091_costume_luffy_boundman
87,MPLC000_Luffy,92,2140,806_092_costume_luffy_snakeman
87,MPLC000_Luffy,99,2147,806_099_costume_luffy_thrillerbark
87,MPLC000_Luffy,107,2155,806_107_costume_luffy_wa
93,MNPC042_Drake_Chg,85,2133,806_085_costume_drake_henshin
93,MNPC042_Drake_Chg,86,2134,806_086_costume_drake_henshin_nw
93,MNPC042_Drake_Chg,97,2145,806_097_costume_drake_human
93,MNPC042_Drake_Chg,104,2152,806_104_costume_drake_human_nw
110,MBSS016_Mar_Hand_G,56,2104,806_056_costume_marco
129,MZAK012_Franky,33,2081,806_033_costume_franky
129,MZAK012_Franky,34,2082,806_034_costume_franky_garb
129,MZAK012_Franky,35,2083,806_035_costume_franky_nw
184,MCHG000_Luffy_T,0,2048,806_000_costume_luffy
184,MCHG000_Luffy_T,1,2049,806_001_costume_luffy_alabasta
184,MCHG000_Luffy_T,2,2050,806_002_costume_luffy_enies_lobby
184,MCHG000_Luffy_T,3,2051,806_003_costume_luffy_sabaody
184,MCHG000_Luffy_T,4,2052,806_004_costume_luffy_impel_down
184,MCHG000_Luffy_T,5,2053,806_005_costume_luffy_marineford_late
184,MCHG000_Luffy_T,6,2054,806_006_costume_luffy_nw
184,MCHG000_Luffy_T,7,2055,806_007_costume_luffy_dressrosa
184,MCHG000_Luffy_T,8,2056,806_008_costume_luffy_wholecakeisland
184,MCHG000_Luffy_T,9,2057,806_009_costume_luffy_lucy
184,MCHG000_Luffy_T,91,2139,806_091_costume_luffy_boundman
184,MCHG000_Luffy_T,92,2140,806_092_costume_luffy_snakeman
184,MCHG000_Luffy_T,99,2147,806_099_costume_luffy_thrillerbark
184,MCHG000_Luffy_T,107,2155,806_107_costume_luffy_wa
186,MCHG002_Chopper_M,27,2075,806_027_costume_chopper
186,MCHG002_Chopper_M,28,2076,806_028_costume_chopper_alabasta
186,MCHG002_Chopper_M,29,2077,806_029_costume_chopper_nw
187,MCHG003_Chopper_M_NW,27,2075,806_027_costume_chopper
187,MCHG003_Chopper_M_NW,28,2076,806_028_costume_chopper_alabasta
187,MCHG003_Chopper_M_NW,29,2077,806_029_costume_chopper_nw
188,MCHG004_Franky_S,33,2081,806_033_costume_franky
188,MCHG004_Franky_S,34,2082,806_034_costume_franky_garb
188,MCHG004_Franky_S,35,2083,806_035_costume_franky_nw
189,MCHG005_Lucci_B,65,2113,806_065_costume_lucci
192,MCHG008_Luffy_B,0,2048,806_000_costume_luffy
192,MCHG008_Luffy_B,1,2049,806_001_costume_luffy_alabasta
192,MCHG008_Luffy_B,2,2050,806_002_costume_luffy_enies_lobby
192,MCHG008_Luffy_B,3,2051,806_003_costume_luffy_sabaody
192,MCHG008_Luffy_B,4,2052,806_004_costume_luffy_impel_down
192,MCHG008_Luffy_B,5,2053,806_005_costume_luffy_marineford_late
192,MCHG008_Luffy_B,6,2054,806_006_costume_luffy_nw
192,MCHG008_Luffy_B,7,2055,806_007_costume_luffy_dressrosa
192,MCHG008_Luffy_B,8,2056,806_008_costume_luffy_wholecakeisland
192,MCHG008_Luffy_B,9,2057,806_009_costume_luffy_lucy
192,MCHG008_Luffy_B,91,2139,806_091_costume_luffy_boundman
192,MCHG008_Luffy_B,92,2140,806_092_costume_luffy_snakeman
192,MCHG008_Luffy_B,99,2147,806_099_costume_luffy_thrillerbark
192,MCHG008_Luffy_B,107,2155,806_107_costume_luffy_wa
193,MCHG009_Luffy_S,0,2048,806_000_costume_luffy
193,MCHG009_Luffy_S,1,2049,806_001_costume_luffy_alabasta
193,MCHG009_Luffy_S,2,2050,806_002_costume_luffy_enies_lobby
193,MCHG009_Luffy_S,3,2051,806_003_costume_luffy_sabaody
193,MCHG009_Luffy_S,4,2052,806_004_costume_luffy_impel_down
193,MCHG009_Luffy_S,5,2053,806_005_costume_luffy_marineford_late
193,MCHG009_Luffy_S,6,2054,806_006_costume_luffy_nw
193,MCHG009_Luffy_S,7,2055,806_007_costume_luffy_dressrosa
193,MCHG009_Luffy_S,8,2056,806_008_costume_luffy_wholecakeisland
193,MCHG009_Luffy_S,9,2057,806_009_costume_luffy_lucy
193,MCHG009_Luffy_S,91,2139,806_091_costume_luffy_boundman
193,MCHG009_Luffy_S,92,2140,806_092_costume_luffy_snakeman
193,MCHG009_Luffy_S,99,2147,806_099_costume_luffy_thrillerbark
193,MCHG009_Luffy_S,107,2155,806_107_costume_luffy_wa
196,MCHG012_Carrot_S,70,2118,806_070_costume_carrot
196,MCHG012_Carrot_S,93,2141,806_093_costume_carrot_sulong
199,MCHG015_Kaido_D,78,2126,806_078_costume_kaido
199,MCHG015_Kaido_D,94,2142,806_094_costume_kaido_formchange
201,MCHG017_Hawkins_G_NW,81,2129,806_081_costume_hawkins_nw
202,MVAR000_Luffy_NW,0,2048,806_000_costume_luffy
202,MVAR000_Luffy_NW,1,2049,806_001_costume_luffy_alabasta
202,MVAR000_Luffy_NW,2,2050,806_002_costume_luffy_enies_lobby
202,MVAR000_Luffy_NW,3,2051,806_003_costume_luffy_sabaody
202,MVAR000_Luffy_NW,4,2052,806_004_costume_luffy_impel_down
202,MVAR000_Luffy_NW,5,2053,806_005_costume_luffy_marineford_late
202,MVAR000_Luffy_NW,6,2054,806_006_costume_luffy_nw
202,MVAR000_Luffy_NW,7,2055,806_007_costume_luffy_dressrosa
202,MVAR000_Luffy_NW,8,2056,806_008_costume_luffy_wholecakeisland
202,MVAR000_Luffy_NW,9,2057,806_009_costume_luffy_lucy
202,MVAR000_Luffy_NW,91,2139,806_091_costume_luffy_boundman
202,MVAR000_Luffy_NW,92,2140,806_092_costume_luffy_snakeman
202,MVAR000_Luffy_NW,99,2147,806_099_costume_luffy_thrillerbark
202,MVAR000_Luffy_NW,107,2155,806_107_costume_luffy_wa
203,MVAR001_Zoro_NW,10,2058,806_010_costume_zoro
203,MVAR001_Zoro_NW,11,2059,806_011_costume_zoro_alabasta
203,MVAR001_Zoro_NW,12,2060,806_012_costume_zoro_garb
203,MVAR001_Zoro_NW,13,2061,806_013_costume_zoro_sabaody
203,MVAR001_Zoro_NW,14,2062,806_014_costume_zoro_nw
203,MVAR001_Zoro_NW,108,2156,806_108_costume_zoro_wa
204,MVAR002_Nami_NW,15,2063,806_015_costume_nami
204,MVAR002_Nami_NW,16,2064,806_016_costume_nami_alabasta
204,MVAR002_Nami_NW,17,2065,806_017_costume_nami_w7
204,MVAR002_Nami_NW,18,2066,806_018_costume_nami_nw
204,MVAR002_Nami_NW,110,2158,806_110_costume_nami_wa
205,MVAR003_Usopp_NW,19,2067,806_019_costume_usopp
205,MVAR003_Usopp_NW,20,2068,806_020_costume_usopp_garb
205,MVAR003_Usopp_NW,21,2069,806_021_costume_usopp_enies_lobby
205,MVAR003_Usopp_NW,22,2070,806_022_costume_usopp_nw
206,MVAR004_Sanji_NW,23,2071,806_023_costume_sanji
206,MVAR004_Sanji_NW,24,2072,806_024_costume_sanji_mr_prince
206,MVAR004_Sanji_NW,25,2073,806_025_costume_sanji_nw
206,MVAR004_Sanji_NW,26,2074,806_026_costume_sanji_groom
206,MVAR004_Sanji_NW,109,2157,806_109_costume_sanji_osoba
